,대출금액,상환계획(차수),완전납부,세모납부,미납부,대출사유,고정소득액,소득-소비금액
1,300000,4,3,1,0,4,350000,150000
,300000,6,3,3,0,5,260000,50000
,300000,6,4,2,0,5,490000,120000
,300000,3,3,0,0,5,330000,170000
,300000,1,1,0,0,2,590000,120000
,300000,4,3,1,0,4,270000,140000
,150000,6,1,5,0,4,380000,180000
,300000,3,2,1,0,2,580000,140000
,200000,1,1,0,0,3,260000,110000
,300000,4,1,3,0,1,270000,90000
,300000,6,3,3,0,5,460000,190000
,300000,6,1,5,0,5,320000,190000
,300000,6,5,1,0,5,530000,90000
,300000,4,0,4,0,1,480000,160000
,300000,3,0,3,0,3,500000,70000
,300000,5,3,2,0,5,260000,120000
,100000,2,2,0,0,3,360000,140000
,300000,6,5,1,0,3,470000,120000
,300000,1,1,0,0,4,400000,90000
,300000,2,1,1,0,1,290000,50000
,300000,4,1,3,0,2,470000,100000
,300000,3,2,1,0,2,460000,190000
,300000,1,1,0,0,2,510000,140000
,300000,6,2,4,0,5,550000,150000
,250000,4,4,0,0,5,490000,100000
,150000,6,6,0,0,3,550000,140000
,300000,2,2,0,0,3,510000,150000
,200000,3,3,0,0,4,300000,170000
,150000,2,0,2,0,5,460000,110000
,300000,3,1,2,0,2,510000,100000
,300000,6,,,,1,500000,130000
,300000,5,,,,3,410000,70000
,300000,6,,,,5,500000,150000
,300000,3,,,,1,480000,160000
,300000,6,,,,3,470000,60000
,300000,3,,,,4,510000,180000
,,,,,,,,
