대출금액,상환계획(차수),완전납부,세모납부,미납부,대출사유,고정소득액,소득-소비금액
300000,4,3,1,0,5,270000,140000
300000,6,3,3,0,2,380000,120000
300000,6,4,2,0,1,320000,170000
300000,3,3,0,0,4,600000,60000
300000,1,1,0,0,4,570000,80000
300000,4,3,1,0,1,370000,160000
150000,6,1,5,0,2,430000,160000
300000,3,2,1,0,1,300000,80000
200000,1,1,0,0,4,360000,100000
300000,4,1,3,0,1,550000,180000
300000,6,3,3,0,3,350000,50000
300000,6,1,5,0,2,340000,200000
300000,6,5,1,0,3,260000,190000
300000,4,0,4,0,5,290000,180000
300000,3,0,3,0,5,500000,80000
300000,5,3,2,0,1,460000,60000
100000,2,2,0,0,3,430000,170000
300000,6,5,1,0,1,510000,110000
300000,1,1,0,0,1,250000,60000
300000,2,1,1,0,3,440000,50000
300000,4,1,3,0,2,270000,100000
300000,3,2,1,0,1,570000,90000
300000,1,1,0,0,1,400000,140000
300000,6,2,4,0,5,440000,170000
150000,6,6,0,0,1,270000,200000
300000,2,2,0,0,2,320000,170000
200000,3,3,0,0,5,420000,80000
150000,2,0,2,0,3,570000,60000
300000,3,1,2,0,5,430000,70000
