대출금액,상환계획(차수),완전납부,세모납부,미납부,대출사유,고정소득액,차액
300000,4,3,1,0,2,570000,140000
300000,6,3,3,0,1,530000,150000
300000,6,4,2,0,1,350000,100000
300000,3,3,0,0,3,460000,50000
300000,1,1,0,0,3,350000,110000
300000,4,3,1,0,1,550000,60000
150000,6,1,5,0,5,530000,180000
300000,3,2,1,0,3,370000,50000
200000,1,1,0,0,1,590000,70000
300000,4,1,3,0,2,550000,80000
300000,6,3,3,0,1,370000,70000
300000,6,1,5,0,3,290000,70000
300000,6,5,1,0,2,410000,200000
300000,4,0,4,0,2,490000,110000
300000,3,0,3,0,2,280000,60000
300000,5,3,2,0,3,560000,140000
100000,2,2,0,0,5,560000,150000
300000,6,5,1,0,3,470000,50000
300000,1,1,0,0,5,320000,120000
300000,2,1,1,0,3,290000,180000
300000,4,1,3,0,1,530000,120000
300000,3,2,1,0,4,280000,80000
300000,1,1,0,0,3,250000,160000
300000,6,2,4,0,4,450000,160000
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
