대출금액,상환계획(차수),완전납부,세모납부,미납부,대출사유,고정소득액,소득-소비금액,상환등급
300000,4,3,1,0,2,430000,50000,우수
300000,6,3,3,0,1,270000,120000,우수
300000,6,4,2,0,4,580000,160000,우수
300000,3,3,0,0,2,310000,170000,매우우수
300000,1,1,0,0,2,600000,140000,매우우수
300000,4,3,1,0,5,470000,150000,우수
150000,6,1,5,0,3,550000,190000,우수
300000,3,2,1,0,5,370000,50000,우수
200000,1,1,0,0,1,290000,180000,매우우수
300000,4,1,3,0,5,370000,170000,우수
300000,6,3,3,0,4,350000,120000,우수
300000,6,1,5,0,4,530000,120000,우수
300000,6,5,1,0,5,310000,130000,우수
300000,4,0,4,0,4,430000,120000,우수
300000,3,0,3,0,5,510000,100000,우수
300000,5,3,2,0,2,600000,110000,우수
100000,2,2,0,0,5,330000,180000,매우우수
300000,6,5,1,0,2,260000,70000,우수
300000,1,1,0,0,4,420000,100000,
300000,2,1,1,0,5,310000,120000,우수
300000,4,1,3,0,1,540000,70000,우수
300000,3,2,1,0,2,520000,190000,우수
300000,1,1,0,0,5,330000,50000,매우우수
300000,6,2,4,0,4,420000,150000,우수
250000,4,4,0,0,1,260000,120000,매우우수
150000,6,6,0,0,2,330000,60000,매우우수
300000,2,2,0,0,5,510000,60000,매우우수
200000,3,3,0,0,2,440000,50000,매우우수
150000,2,0,2,0,5,460000,80000,우수
300000,3,1,2,0,2,450000,100000,우수
300000,6,,,,4,330000,190000,우수
300000,5,,,,5,580000,90000,우수
300000,6,,,,2,470000,140000,매우우수
300000,3,,,,3,420000,50000,매우우수
300000,6,,,,5,320000,180000,우수
300000,3,,,,4,460000,150000,매우우수
,,,,,,,,
